City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Alice Springs,AU,2022-11-20 17:07:52,-23.7,133.8833,63.95,59,89,5.75
130,Mazyr,BY,2022-11-20 17:07:53,52.0495,29.2456,26.35,97,100,10.33
131,Leeton,AU,2022-11-20 17:07:53,-34.5667,146.4,54.9,59,85,13.24
132,Nemuro,JP,2022-11-20 17:07:54,43.3236,145.575,49.8,70,100,18.32
133,Markala,ML,2022-11-20 17:07:54,13.7021,-6.0659,91.54,16,88,7.87
134,Maniitsoq,GL,2022-11-20 17:08:54,65.4167,-52.9,23.43,76,100,6.04
135,Severo-Kurilsk,RU,2022-11-20 17:08:55,50.6789,156.125,31.96,71,23,4.61
136,Tiksi,RU,2022-11-20 17:08:55,71.6872,128.8694,-12.03,99,100,3.71
137,Kahului,US,2022-11-20 17:08:55,20.8947,-156.47,76.84,81,20,8.05
138,Lebu,CL,2022-11-20 17:08:56,-37.6167,-73.65,56.79,56,0,25.61
139,Conakry,GN,2022-11-20 17:08:56,9.538,-13.6773,82.18,66,30,9.91
140,Camocim,BR,2022-11-20 17:08:57,-2.9022,-40.8411,87.53,58,35,16.93
141,Matveyevka,RU,2022-11-20 17:08:57,52.15,56.1833,19.06,95,100,6.02
142,Sidi Ali,DZ,2022-11-20 17:08:58,36.0998,0.4206,58.48,64,4,12.26
143,Lompoc,US,2022-11-20 17:08:58,34.6391,-120.4579,66.78,34,0,11.5
144,Ahipara,NZ,2022-11-20 17:08:59,-35.1667,173.1667,60.64,93,98,10.47
145,Gat,IL,2022-11-20 17:08:59,31.61,34.7642,72.39,28,3,18.41
146,Dasoguz,TM,2022-11-20 17:08:59,41.8363,59.9666,51.28,49,35,7.76
147,Whitianga,NZ,2022-11-20 17:09:00,-36.8333,175.7,61.09,86,81,7.85
148,Nsanje,MW,2022-11-20 17:09:00,-16.92,35.262,86.47,58,4,12.57
149,Mar Del Plata,AR,2022-11-20 17:06:30,-38.0023,-57.5575,68.09,94,100,18.41
150,Manta,EC,2022-11-20 17:09:01,-0.95,-80.7333,76.78,69,0,12.66
151,Chiari,IT,2022-11-20 17:09:01,45.5359,9.9304,49.15,44,14,1.92
152,Atambua,ID,2022-11-20 17:09:02,-9.1061,124.8925,74.46,87,100,2.17
153,Norman Wells,CA,2022-11-20 17:09:02,65.282,-126.8329,26.64,86,75,16.11
154,Vesoul,FR,2022-11-20 17:09:03,47.5833,5.8333,45.41,87,100,16.8
155,Krasnokamensk,RU,2022-11-20 17:09:03,50.0979,118.0369,-7.15,97,8,5.17
156,Sao Filipe,CV,2022-11-20 17:09:04,14.8961,-24.4956,77.97,65,67,14.2
157,Tezu,IN,2022-11-20 17:09:04,27.9167,96.1667,60.91,28,45,5.32
158,Strezhevoy,RU,2022-11-20 17:09:04,60.7333,77.5889,-15.38,98,19,6.2
159,Ostersund,SE,2022-11-20 17:09:05,63.1792,14.6357,18.05,100,100,3.44
