City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
302,Kipini,KE,2022-11-20 17:13:01,-2.5257,40.5262,78.85,88,95,7.74,Delta Sea Mall
303,Montecristi,EC,2022-11-20 17:13:01,-1.05,-80.6667,75.02,69,0,12.66,Balcones del Cerro Hotel - Cabañas
304,Ambilobe,MG,2022-11-20 17:13:02,-13.2,49.05,77.79,78,51,1.72,Hôtel & Restaurant DIANA Ambilobe
306,Port-Gentil,GA,2022-11-20 17:13:03,-0.7193,8.7815,76.96,88,75,5.75,Fengshui Residence
309,Ahuimanu,US,2022-11-20 17:13:03,21.4447,-157.8378,76.35,76,20,6.91,Paradise Bay Resort
312,Can,TR,2022-11-20 17:13:05,40.0333,27.0524,65.97,63,100,14.05,Can Ogretmenevi
314,Pundaguitan,PH,2022-11-20 17:13:06,6.3711,126.1689,81.9,74,100,7.78,Leonardo Family Beach House 1
317,Tocopilla,CL,2022-11-20 17:13:08,-22.092,-70.1979,69.44,69,8,6.29,Hotel Galvarino
318,Mayumba,GA,2022-11-20 17:13:08,-3.432,10.6554,75.99,89,100,3.78,LIKWALE LODGE
321,Presidencia Roque Saenz Pena,AR,2022-11-20 17:14:09,-26.7852,-60.4388,72.19,86,100,8.7,Hotel Gualok
322,Buala,SB,2022-11-20 17:14:09,-8.145,159.5921,79.88,75,49,8.16,Maringe Lagoon Lodge
326,Menongue,AO,2022-11-20 17:14:11,-14.6585,17.691,82.67,21,55,7.23,Ritz Lauca
332,Kulhudhuffushi,MV,2022-11-20 17:14:13,6.6221,73.07,76.33,90,100,8.63,Haajy Guest House 1
337,Sorong,ID,2022-11-20 17:14:15,-0.8833,131.25,76.55,90,98,5.66,Waigo Splash Hotel
342,Chuy,UY,2022-11-20 17:14:17,-33.6971,-53.4616,81.93,54,38,10.67,Nuevo Hotel Plaza
343,Lobito,AO,2022-11-20 17:14:18,-12.3481,13.5456,77.4,80,21,8.93,Casa Rosa Hotel Residence
349,Andilamena,MG,2022-11-20 17:14:20,-17.0167,48.5833,71.8,74,75,2.35,Police men home Andilamina
352,Touros,BR,2022-11-20 17:14:21,-5.1989,-35.4608,84.78,61,45,16.51,INN NEW HORIZON
355,Awbari,LY,2022-11-20 17:14:23,26.5921,12.7805,69.04,24,56,8.52,استراحة الشارب العائلي
358,Samarai,PG,2022-11-20 17:14:24,-10.6167,150.6667,82.99,78,30,11.43,Nuli Sapi
360,Mahebourg,MU,2022-11-20 17:14:25,-20.4081,57.7,76.24,69,21,6.78,Shandrani Beachcomber Resort & Spa
364,Tiarei,PF,2022-11-20 17:14:26,-17.5333,-149.3333,78.82,75,47,15.43,Le Rocher de Tahiti
367,Los Banos,PH,2022-11-20 17:14:27,14.1667,121.1833,79.79,90,98,6.76,Sol Y Viento Mountain Hotsprings Resort
368,Talhar,PK,2022-11-20 17:15:28,24.8833,68.8167,77.14,27,1,8.32,Kanwal Rice Mill
374,Luena,AO,2022-11-20 17:15:30,-11.7833,19.9167,69.03,69,56,3.53,Hotel Kandamba
377,Meulaboh,ID,2022-11-20 17:15:31,4.1363,96.1285,76.55,87,100,3.44,Kost Pria
378,Kawalu,ID,2022-11-20 17:15:31,-7.3817,108.2082,70.7,97,60,1.28,West Jontor
379,Bathsheba,BB,2022-11-20 17:15:31,13.2167,-59.5167,84.81,74,40,23.02,Atlantis Hotel
383,Mehran,IR,2022-11-20 17:15:32,33.1222,46.1646,67.46,38,0,5.7,بوتیک زنانه بهار
385,Ixil,MX,2022-11-20 17:15:33,21.15,-89.4833,83.05,76,70,5.82,FINCA XIIMBAL
386,San Quintin,MX,2022-11-20 17:15:34,30.4833,-115.95,66.02,27,0,3.91,Don Eddie's Sport Fishing Center
387,Progreso,MX,2022-11-20 17:15:34,21.2833,-89.6667,83.1,73,87,8.72,Playa Linda Hotel
393,Lar,IN,2022-11-20 17:15:37,26.2039,83.9717,65.17,41,0,5.46,Ovaiskarni ward Lar
397,Aguimes,ES,2022-11-20 17:15:38,27.9054,-15.4461,72.66,68,75,25.32,Hotel Villa de Aguimes
398,Constitucion,CL,2022-11-20 17:15:39,-35.3333,-72.4167,66.58,48,0,18.34,Hotel Boutique Las Azucenas
401,Luang Prabang,LA,2022-11-20 17:15:40,19.8856,102.1347,71.13,90,50,0.16,The Luang Say Residence
